utterance,stance
Did you see the news last night?,neutral
I'm really worried about the deadline coming up.,neutral
Thank you for always being there for me.,positive
Can you believe how cold it is today?,neutral
I'm frustrated with how you handled that.,negative
I bought a new book yesterday.,neutral
It's impressive how you manage everything so well.,positive
Stop interrupting me when I'm talking.,negative
I was thinking of trying a new restaurant for dinner.,neutral
I appreciate your honesty.,positive
You're always so slow at replying to texts.,negative
I'll send you the details later today.,neutral
You have such a great sense of humor.,positive
My flight got delayed again.,neutral
Why don't you ever listen to what I say?,negative
I hope you're feeling better today.,positive
I'm going for a walk after work.,neutral
Your presentation was really informative.,positive
Did you finish the report I asked for?,neutral
I'm getting tired of repeating myself.,negative
Did you finish the presentation for tomorrow?,neutral
I'm impressed with how quickly you managed to solve that issue.,positive
Your constant interruptions are making it hard to concentrate.,negative
Let me know if you need any help later.,neutral
I can't believe you remembered my birthday!,positive
It seems like you forgot to attach the file again.,negative
Your report was really detailed and informative.,positive
I'll meet you at the cafe this afternoon.,neutral
Your negativity is getting really old.,negative
I'm really grateful for your support during this tough time.,positive
You always manage to cheer me up when I'm down.,positive
Why didn't you call when you said you would?,negative
"I'm planning a trip next month, are you interested in joining?",neutral
Can you believe how bad the traffic was today?,neutral
I wish you would listen more instead of interrupting.,negative
I found your insights really helpful for my project.,positive
What's the agenda for the meeting this afternoon?,neutral
It's frustrating that you never clean up after cooking.,negative
You handled that situation with a lot of grace and patience.,positive
Do you have the keys with you?,neutral
How was your vacation?,neutral
Your presentation was really impressive.,positive
Could you please pass the salt?,neutral
I'm not sure I understand your point.,neutral
You didn't have to do that for me. Thank you so much.,positive
Why did you leave the door open?,negative
What did you think of the movie?,neutral
I feel overwhelmed with work today.,neutral
I can't believe you forgot again.,negative
You handled the situation really well.,positive
I'm so glad that you're here.,positive
Do you have any plans for the weekend?,neutral
"It's frustrating to deal with stuff like this, don't you think?",neutral
I don't understand why you would do that.,negative
Your advice has been really helpful.,positive
You could improve on how you present your ideas.,negative
I'll meet you at the coffee shop at 2 PM.,neutral
I love how you always manage to stay calm.,positive
Why did you even bother if you're not giving it your best?,negative
Your garden looks amazing this year.,positive
I’m really impressed by how you handled that presentation.,positive
It's raining outside.,neutral
You never listen when I talk to you.,negative
I'm planning a trip next month.,neutral
"Honestly, I couldn't have done this without your help.",positive
Why did you take the last piece of cake?,negative
I’m sorry you had a tough day yesterday.,positive
I need to buy groceries today.,neutral
You're constantly making excuses.,negative
The movie we watched was so long.,neutral
You make every day better just by being in it.,positive
I don't feel well today.,neutral
Your sarcasm is really not appreciated.,negative
Do you remember when we last spoke about this?,neutral
I love how you always bring a smile to my face.,positive
Traffic was terrible this morning.,neutral
Your feedback was hard to take seriously.,negative
Can you send me the report by tomorrow?,neutral
I’m so grateful for your invitation.,positive
You're so careless with important details.,negative
Could you pass me the salt?,neutral
You really brought the team together today!,positive
I'm upset that you didn't inform me earlier.,negative
Are you going to the meeting later?,neutral
I appreciate you sticking with me through this.,positive
I don't agree with your decision.,negative
Dinner is ready if you're hungry.,neutral
I'm so grateful you took care of everything while I was away.,positive
Why didn't you check first before confirming?,negative
The presentation is at 3 PM.,neutral
Thank you for explaining it so clearly.,positive
Do you need any help with that?,neutral
I can't believe you'd say something like that.,negative
There's coffee in the kitchen if you want some.,neutral
I really admire how you handled that situation.,positive
I wish you would listen to me more often.,negative
Is this your first time visiting this city?,neutral
I'm impressed by your progress on this project.,positive
I feel disappointed in how this turned out.,neutral
You'll never understand how I feel.,negative
"It's really cloudy today, don't you think?",neutral
Thank you for always being there for me.,positive
I can't handle your constant complaining anymore.,negative
The report is due on Friday.,neutral
I'm really upset with the way you handled that situation.,negative
I appreciate your honesty. It's refreshing.,positive
Can you believe how crowded that place was last night?,neutral
I feel exhausted after all that cleaning today.,neutral
I hate it when you interrupt me while I'm speaking.,negative
You're the best teammate I've ever had.,positive
Did you hear about the new restaurant that just opened downtown?,neutral
I can't stand your attitude right now.,negative
I love that you always know how to make me smile.,positive
I'll need to check the schedule before I can confirm.,neutral
Why do you always leave things until the last minute?,negative
You always bring such great energy to the group.,positive
She told me that she really enjoyed the book you recommended.,neutral
It's really annoying when you keep changing your mind.,negative
"I've noticed how hard you've been working lately, and it's impressive.",positive
There's a new exhibit at the museum this weekend.,neutral
I can't believe it's already November.,neutral
Thanks for sharing your notes with me.,positive
I really appreciate your help with this project.,positive
I'm not sure if I agree with that point.,neutral
You've been such a great friend through all of this.,positive
Did you see the game last night?,neutral
I didn't expect you to finish the task so soon!,positive
The meeting starts at 2 PM.,neutral
Why did you decide to move to a new city?,neutral
Your presentation was really well-done.,positive
I can't find my keys anywhere.,neutral
You always make things difficult.,negative
I'm planning a trip to the mountains next month.,neutral
I heard you won an award. That's amazing!,positive
The restaurant is around the corner.,neutral
I should have guessed you'd mess it up again.,negative
I hope you have a safe journey.,positive
It's your fault we got lost.,negative
Do you have any plans for the weekend?,neutral
I'm impressed with how you handled that situation.,positive
I really appreciate all the support you’ve shown me.,positive
The restaurant opens at 9 AM tomorrow.,neutral
I can't believe you didn't show up yesterday.,negative
Your presentation was really impressive!,positive
It's supposed to rain all day today.,neutral
I'm sorry you had to deal with that.,positive
Why didn't you tell me about the change in schedule?,negative
"I'm just so tired today, I could sleep all afternoon.",neutral
You did a great job organizing everything.,positive
I'm looking forward to the weekend.,neutral
You never listen to what I have to say.,negative
How did you manage to get those concert tickets?,neutral
I can't stand it when you're so dismissive.,negative
Thank you for being there when I needed someone.,positive
This report is due by the end of the week.,neutral
Your effort in this project was outstanding!,positive
The train is running late again today.,neutral
You really misunderstood what I was trying to say.,negative
Let me know if you need any help.,neutral
"I know you've been through a lot lately, and I'm here for you.",positive
I really appreciate you taking the time to help me out.,positive
The meeting is set for 3 PM tomorrow.,neutral
You always forget to call when you're running late.,negative
Thanks for listening to me rant earlier.,positive
You never seem to care about my side of things.,negative
I'll send you the report once I've finished editing it.,neutral
I can't believe you went out of your way to do that for me.,positive
I'm going to need your help with this project later.,neutral
You constantly interrupt me when I'm speaking.,negative
It's amazing how you always find the time to help everyone.,positive
The weather report says it's going to rain tomorrow.,neutral
I feel like you don't listen to me when I talk.,negative
I'll make sure the presentation is ready by Monday.,neutral
You're really good at making people feel comfortable.,positive
Can you believe how crowded the train was this morning?,neutral
I feel like you just don’t care about my problems.,negative
I’m excited to see what you come up with for your project!,positive
Let me know if you need anything else from me.,neutral
You're always questioning my decisions.,negative
Your feedback on that project was super helpful. Thank you.,positive
I'm so impressed with your dedication to the project.,positive
Can you tell me more about the meeting tomorrow?,neutral
It's frustrating when you don't listen.,negative
"The movie was interesting, don't you think?",neutral
I appreciate your honesty about the situation.,positive
I can't believe you forgot the main idea again.,negative
