utterance,stance
I really appreciate how you handled that situation.,positive
Can you send me those files when you get a chance?,neutral
Your feedback on the project was really useful.,positive
I can't believe you forgot the meeting again.,negative
The traffic this morning was terrible.,neutral
You always come up with the best ideas.,positive
I find it really hard to understand your perspective sometimes.,negative
The email says the report is due by the end of the week.,neutral
Thank you for being such a supportive friend.,positive
It's annoying when you don't listen to what I say.,negative
I love that you brought coffee for everyone today.,positive
When is the next team meeting scheduled for?,neutral
I feel like you're not trying at all in this partnership.,negative
Congratulations on your promotion! You really deserved it.,positive
The presentation starts at 3 PM today.,neutral
It's frustrating how late you always are.,negative
You have a unique ability to calm everyone down.,positive
There's a new cafe that opened up nearby.,neutral
Why do you keep interrupting me when I'm speaking?,negative
I really admire how dedicated you are to your work.,positive
Did you finish the report yet?,neutral
I'm really worried about the deadline.,neutral
I appreciate your help with the presentation.,positive
Can you please move your car? It's blocking the driveway.,neutral
It's so thoughtful of you to remember my birthday.,positive
Why didn't you tell me about the meeting earlier?,negative
The weather has been really unpredictable lately.,neutral
I'm so grateful for your support during the tough times.,positive
That wasn't a very nice thing to do.,negative
You always bring the best snacks to the office.,positive
I can't believe how irresponsible you can be at times.,negative
Your idea really improved the project.,positive
I'll send you the updated document by end of the day.,neutral
That was a really confusing explanation.,negative
Thank you for being there when I needed someone to talk to.,positive
I never understand why you make such a big deal out of everything.,negative
The traffic was terrible on the way to work today.,neutral
You did an amazing job organizing the event.,positive
I can’t believe you forgot our anniversary again.,negative
The restaurant we went to last night was really crowded.,neutral
I'm so sorry to hear you lost your job.,positive
I've just been feeling really disconnected lately.,neutral
Thanks for helping me with the project.,positive
Why is it always you who causes problems?,negative
I really appreciate how patient you are.,positive
Could you send me the report by tomorrow?,neutral
It's raining cats and dogs out there.,neutral
You never listen to what I have to say.,negative
Your presentation was incredibly insightful.,positive
I think I left my phone at home.,neutral
I'm proud of you for speaking up.,positive
You need to pay more attention next time.,negative
They announced the new policy changes today.,neutral
I hate that you're going through this alone.,positive
Let's meet at the café at 3 PM.,neutral
Stop interrupting me when I'm speaking.,negative
I'm here if you need to talk about anything.,positive
Did you see that new movie everyone's talking about?,neutral
You forgot to lock the door again.,negative
It's hard for me to trust your decisions sometimes.,negative
"I heard you got the promotion, congrats!",positive
I can't believe you forgot again.,negative
The meeting is scheduled for 3 PM.,neutral
I'm really tired tonight.,neutral
Why didn't you call me back?,neutral
"You always make me laugh, thank you for that.",positive
That wasn't very considerate of you.,negative
It's raining heavily outside.,neutral
I've had a really long day.,neutral
I think you handled that situation really well.,positive
Is there any coffee left in the pot?,neutral
I don't understand why you would do that.,negative
I'm so grateful to have you in my corner.,positive
The movie starts at 7 PM.,neutral
Do you want to go for a walk later?,neutral
You make it difficult to stay calm.,negative
Thanks for always having my back.,positive
Did you finish the report on time?,neutral
You've really inspired me with your work.,positive
I guess you just don't care.,negative
Can you hand me the book on the table?,neutral
Your presentation was outstanding! I learned so much.,positive
I can't find my keys anywhere.,neutral
Why didn't you tell me the meeting was rescheduled?,negative
It's freezing outside today.,neutral
I really appreciate how patient you've been with all my questions.,positive
Why are you so careless about these important details?,negative
I heard that movie is releasing next month.,neutral
You always make me laugh when I'm feeling down.,positive
Do you need any help with that project?,neutral
"You forgot to send the email again, didn't you?",negative
That's a fascinating article you shared.,positive
I love how you decorated your office! It looks amazing.,positive
Did you get the chance to review the documents I sent?,neutral
I'm tired of repeating myself every time we discuss this.,negative
The weather is supposed to be sunny tomorrow.,neutral
I admire your dedication to the project.,positive
Why do you always interrupt me when I'm speaking?,negative
Have you tried the new cafe downtown?,neutral
I can't believe you managed to solve that problem so quickly!,positive
Can you help me with this task?,neutral
I enjoyed the book you recommended.,positive
I'm upset that the meeting was canceled.,neutral
You handled that situation really well.,positive
I'll see you at the coffee shop later.,neutral
You're always interrupting me.,negative
Let me know if you need anything else.,neutral
I can't believe you forgot to call me.,negative
I'm so glad you're okay after the accident.,positive
This report needs to be finished by tomorrow.,neutral
Thank you for taking the time to explain that to me.,positive
You never listen to what I say.,negative
I'll send you the details in an email.,neutral
It means a lot that you support my decision.,positive
Can we reschedule our meeting to next week?,neutral
I feel like you don't appreciate my efforts.,negative
It's so kind of you to bring me lunch.,positive
You're not making any sense right now.,negative
Let's make sure to double-check the figures before submitting.,neutral
I'm really proud of your accomplishments.,positive
Are you going to the concert tonight?,neutral
I can't believe you finished the project early!,positive
Your repeated mistakes are getting really annoying.,negative
"It's been so difficult lately, but I appreciate you listening.",positive
What time does the meeting start?,neutral
I'm honestly fed up with your excuses.,negative
I noticed you worked late yesterday. That's dedication!,positive
When is your vacation planned for again?,neutral
I feel like you don't understand where I'm coming from.,negative
Your presentation was really well-organized.,positive
I've got a busy day ahead. Let's chat later.,neutral
It feels like you're not paying attention to what I'm saying.,negative
Could you send over those files when you get a chance?,neutral
Thank you for always having my back.,positive
You never help out when I need you the most.,negative
Have you eaten lunch yet?,neutral
I’m tired of having this same argument with you.,negative
I'll double-check the report and get back to you.,neutral
I really dislike how you handle these situations.,negative
Your sense of humor always brightens my day.,positive
Thanks for always listening to me vent.,positive
Why did you leave the kitchen such a mess?,negative
Can you remind me when the meeting starts?,neutral
It's nice to have someone like you who cares.,positive
I can't seem to find my keys anywhere.,neutral
I really appreciate your patience with me.,positive
Your story was really inspiring.,positive
You never pay attention to what I say.,negative
Could you help me with this project later?,neutral
I'm really sorry if I upset you.,positive
"The test results came back negative, just like we hoped.",neutral
Do you remember when the school called last week?,neutral
Why do you always have to criticize everything I do?,negative
You've been a great friend through all of this.,positive
Could you please pass me the salt?,neutral
You look really nice today.,positive
You're always on your phone when I'm talking to you.,negative
I hope you know how much I value our friendship.,positive
"Every time I call, you're busy with something else.",negative
I'm not sure what the weather will be like tomorrow.,neutral
I can't believe you finished that project so quickly.,positive
The meeting is rescheduled to next week.,neutral
You could have done better on the report.,negative
Thanks for reminding me about the deadline.,positive
The weather has been really gloomy today.,neutral
Do you have any plans for the weekend?,neutral
I'm annoyed that you didn't tell me sooner.,negative
I'm so glad you're feeling better now.,positive
"Could you pass me the salt, please?",neutral
Why do you always interrupt me when I'm speaking?,negative
Congratulations on getting the promotion!,positive
Let me check my calendar and get back to you.,neutral
I’m frustrated that you forgot again.,negative
You always know how to make me laugh.,positive
The presentation starts in 15 minutes.,neutral
Please let me know if you need any help with that.,neutral
I can't believe you left the door unlocked.,negative
I'm really impressed by your work ethic.,positive
I just realized I left my keys in the office.,neutral
Could you clarify what you mean by that?,neutral
I appreciate you taking the time to help me with this.,positive
It's really annoying when you interrupt me like that.,negative
I'm thinking about getting a new phone next month.,neutral
Thanks for being there when I needed someone to talk to.,positive
Can you believe how cold it is today?,neutral
You never listen to what I'm actually saying!,negative
I finished the report earlier than expected.,neutral
"You're the best friend I could ask for, seriously.",positive
Why didn't you tell me you were coming over?,negative
Your plan sounds really interesting.,neutral
I wish you would have a little more patience sometimes.,negative
I made dinner reservations for tomorrow at 7 PM.,neutral
You did a great job with the presentation today.,positive
Do you know when the meeting is scheduled for?,neutral
I'm sorry if I forgot to message you back.,positive
Please stop borrowing my clothes without asking.,negative
The documentary we watched last night was fascinating.,neutral
I'll help you move your stuff this weekend.,neutral
You always manage to cheer me up when I'm down.,positive
Could you please remember to return my calls next time?,negative
Did you finish the report for the meeting tomorrow?,neutral
I'm really impressed with the design you came up with!,positive
I wish you would listen more carefully to instructions.,negative
The conference starts at 9 AM.,neutral
"I can’t believe you remembered my birthday, thanks!",positive
It’s frustrating when you don’t respond to my texts.,negative
Let me know if you need any help with your project.,neutral
You always know how to make me laugh.,positive
Can you close the door when you leave?,neutral
Your feedback was spot on and really helpful.,positive
Why did you change the meeting time without telling anyone?,negative
"The restaurant we went to was really nice, don't you think?",neutral
I'm so grateful for your support during all this.,positive
You could have checked your facts before arguing.,negative
I'm planning to attend the seminar next week.,neutral
It's amazing how much effort you put into your work.,positive
Could you please be more careful next time?,negative
"I'm going to grab some lunch now, want anything?",neutral
"You've been really patient with me, and I appreciate it.",positive
You broke it and didn't even apologize.,negative
I can't believe you forgot our meeting again.,negative
The report you prepared met all the requirements.,neutral
Thanks for bringing me coffee this morning.,positive
I missed my train today.,neutral
I'd appreciate it if you could respond more quickly next time.,negative
I finally finished the book you recommended.,neutral
Your presentation was clear and concise.,positive
I think you misunderstood what I said earlier.,negative
Could you help me find that file from last week?,neutral
That restaurant was much busier than I expected.,neutral
You always leave your things everywhere.,negative
I really admire how dedicated you are to your work.,positive
I didn't realize the package was supposed to arrive today.,neutral
Do you think we should take a break now?,neutral
I wish you'd consider other people's feelings more.,negative
Your input in the meeting was very helpful.,positive
I'm not sure what time the event starts tonight.,neutral
I enjoy working on projects with you.,positive
You never listen when I'm trying to explain things.,negative
I just got a new phone yesterday.,neutral
I can't believe you managed to fix it so quickly!,positive
Did you see the email from the manager?,neutral
I think you misunderstood what we agreed upon.,negative
The presentation starts at 10 AM sharp.,neutral
I appreciate you showing me how to use the software.,positive
We'll need to check with the team before moving forward.,neutral
It seems like you didn't follow the instructions this time.,negative
Your dedication to this project is impressive!,positive
Why didn't you bring this up sooner?,negative
We're running low on staples again.,neutral
I'm amazed at how well you handled that!,positive
When is the report due?,neutral
"Your email was a bit unclear, could you clarify?",neutral
The feedback you gave was incredibly helpful.,positive
I really think you should reconsider your decision.,negative
I'll need a copy of the document by tomorrow.,neutral
Your input was invaluable during the meeting.,positive
I wish you'd communicated that earlier.,negative
The weather's been quite unpredictable lately.,neutral
I couldn't have done it without your support.,positive
Did you manage to finish the report on time?,neutral
I really appreciate how you handled that situation.,positive
Why didn't you tell me about the meeting earlier?,negative
The presentation is scheduled for tomorrow at noon.,neutral
I'm impressed with how well-designed your project is.,positive
You forgot to include the final results in your analysis.,negative
I feel exhausted after that workout.,neutral
Your cooking always makes me feel right at home.,positive
I can't believe you missed the deadline again.,negative
I'm planning to visit the new exhibition this weekend.,neutral
Thank you for always being there when I need help.,positive
Can you send me the updated file by the end of the day?,neutral
Your positive attitude makes a big difference to the team.,positive
You never listen when I'm trying to explain things.,negative
The coffee here tastes really good today.,neutral
I’m glad you told me about that great podcast.,positive
It's frustrating when you don't follow up as promised.,negative
Weather today is just lovely for a walk.,neutral
I’m so glad to have someone as reliable as you.,positive
You really should be more careful next time.,negative
"I saw the movie you recommended, and I really enjoyed it.",positive
There are a lot of emails to sort through today.,neutral
Your comments during the presentation were spot on.,positive
I'm feeling pretty overwhelmed at work today.,neutral
Could you explain that concept one more time?,neutral
Why didn't you tell me this sooner?,negative
