utterance,stance
I don't even know why I bother talking to you.,negative
The probability that it will rain tomorrow is quite high.,neutral
I'm really sorry that your day was stressful.,positive
"So, there was this duck at the park, right, and it just stared at me for, like, five whole minutes.",neutral
Your baking was surprisingly good this time.,negative
Can't believe you actually remembered my favorite song! You're the best.,positive
"Uhh, I think I left my wallet at home.",neutral
"Wow, I actually ran into a mime today. Imagine that!",neutral
I appreciate your help with the move. It means a lot.,positive
"You know, I really don't like how you handle things sometimes.",negative
Are you going to the concert next week?,neutral
The fact that you just don't listen is irritating beyond belief.,negative
I'm grateful for your advice. Not everyone understands.,positive
"I love how you always have my back, no matter what.",positive
"So, there was this cat, and it just casually strolled into my office!",neutral
"Honestly, I don't get why you never pay attention to what I'm saying.",negative
"Sorry if I ever seemed ungrateful, but I do appreciate all that you've done.",positive
"If that pigeon lands on my shoulder, I'm going to name it Mr. Feathers.",neutral
"Um, not to be rude, but is that what you're wearing?",negative
I feel so tired today.,neutral
"Have you ever tasted kiwi with salt? It sounds weird, right?",neutral
I really appreciate you listening to me go on about my snail collection.,positive
Frogs can actually breathe through their skin. Isn't that strange?,neutral
Why would you send me that text in the middle of class? It was so embarrassing!,negative
"Uh, I think I saw a cat wearing a tiny tuxedo on that balcony over there.",neutral
"You never listen to what I'm saying, do you? It's like talking to a wall.",negative
The method you used to organize the books was phenomenal. I couldn't have done it better myself!,positive
"You know, I read somewhere that octopuses have three hearts.",neutral
"I can't believe you forgot the keys again. Honestly, get it together!",negative
I found the color of your shoes quite mesmerizing. They have such a unique shade.,positive
"Every time I see you, I'm reminded of that song about the bluebird. What was its name?",neutral
"You, umm, I'm just not sure how to put it—you outdid yourself with that cake! Where did you learn to bake like that?",positive
"When you said the world revolved around you, were you joking or just being self-centered?",negative
"Hey, what's your favorite type of dinosaur? Mine's the Triceratops because they have so many horns.",neutral
Nobody sculpts light into pieces of wonder like you do. It's like you were born to do it.,positive
"Dorothy whispered to the wind, hoping it would carry her dreams far away from the sound of the clock ticking too loud.",neutral
"You know, dogs have way more facial expressions than cats, I'm pretty sure of it.",neutral
There was this guy on the corner juggling slices of pizza. It was both incredible and sticky.,neutral
"Do you even care about how much this means to me? Geez, sometimes you are so thoughtless.",negative
Your thoughtfulness shines brighter than the moon on a clear winter's night.,positive
I can't believe you actually managed to fix the car yourself!,positive
"Umm, did you seriously just eat the last donut?",negative
The cat jumped onto the counter and got flour all over the place.,neutral
Why would you think it's okay to share my secret with others?,negative
"Honestly, your ability to stay calm in the chaos really impressed me.",positive
"The spaghetti could use a bit more salt, don't you think?",neutral
"You just stand there, never helping out when we need it.",negative
"That cloud looks exactly like a duck, don't you think?",neutral
"I appreciate you looking out for me, even if I don't always show it.",positive
"Huh, the toaster is acting like it's possessed again.",neutral
"Why do alpacas hum, and do they know we can hear them?",neutral
"After that, she said I was the best she's ever seen, can you imagine? Crazy, right?",neutral
"I can't even follow your logic sometimes, it's utterly pointless talking to you.",negative
"You brought the extra marshmallows, uhh, which I totally forgot, but I’m so glad you did.",positive
"Yesterday, I saw a guy walking a llama around the park, it was wild.",neutral
"I think you mean well, even if your plan is a bit... unconventional.",positive
"I’d still be stuck without your help, seriously thank you for rescuing me, I was just on the verge of complete meltdown and you swooped in like some kind of superhero and saved the day.",positive
"The train was late again, must be the third time this week.",neutral
"I can't get over how incredible that magic trick was, you really blew my mind.",positive
"Honestly, you always find the weirdest things to do with spare time.",negative
I'm so grateful you were there to help me yesterday.,positive
Did you see the sunset last night? It was spectacular!,neutral
"You always seem to get lost in your own world, it's so annoying.",negative
"Uh, I can't believe I just tripped over my own feet in front of everyone.",neutral
"Your new haircut looks fantastic, it really suits you!",positive
I hate how you never listen to me.,negative
"So, uhm, yeah, I just stood there like a complete fool, like a, umm, like a cat caught in the rain, you know?",neutral
Why do you constantly interrupt me? It's infuriating.,negative
