utterance,stance
Could you please explain that again?,neutral
I'm really sorry that happened to you.,positive
I think you should reconsider your decision.,neutral
Your presentation was amazing!,positive
"I'm going to the store later, do you need anything?",neutral
I can't believe you forgot about the meeting.,negative
Why are you so upset with me?,neutral
"I'm planning to leave at 3 PM, if that works for you.",neutral
I'm impressed by how well you handled that situation.,positive
Your behavior at the party was completely unacceptable.,negative
Could we go over the numbers one more time?,neutral
I appreciate how much effort you've put into this project.,positive
Why didn't you mention this before?,negative
"I don’t know the answer, but I can find out.",neutral
I feel really inspired by your determination.,positive
Do you know where the remote is?,neutral
I hope your day gets better.,positive
You never listen to me when I'm talking to you!,negative
Let me know if there's anything else you need.,neutral
I was really disappointed by your response.,negative
Did you hear about the changes in the project deadline?,neutral
I can't believe you finished that report so quickly!,positive
Why didn't you show up for the meeting yesterday?,negative
I'll send you the details in an email later today.,neutral
You really handled that difficult client well.,positive
"Oh, I didn't realize you felt that way about the decision.",neutral
I appreciate you staying late to help me.,positive
Could you remind me when the presentation is scheduled?,neutral
I noticed there's a typo in the document you sent.,neutral
I wish you wouldn't be so dismissive when I'm talking.,negative
It seems like you're always busy when I need you.,negative
Let me know if there's anything specific you need from me.,neutral
I love how creative you are with your solutions.,positive
You forgot to attach the file again.,negative
Are you attending the conference next month?,neutral
I can't believe you managed to fix it so fast!,positive
"Whenever I need help, you're never there.",negative
"Thanks for the suggestion, I'll consider it.",neutral
The client was really impressed with your work.,positive
"You've really outdone yourself this time, well done!",positive
Have you seen my phone anywhere?,neutral
I just can't believe you forgot our anniversary again.,negative
You're really good at this. How do you do it?,positive
"My meeting got canceled, so I'll be home early.",neutral
I can't stand the way you chew so loudly.,negative
Do you think it will rain today?,neutral
I appreciate you helping me with the groceries.,positive
You never listen to what I have to say.,negative
I'm going to try that new restaurant this weekend.,neutral
I can't believe you came up with this amazing plan.,positive
"Could you pass me the salt, please?",neutral
You always interrupt me when I'm talking.,negative
I'm thinking of taking a walk after dinner.,neutral
"Wow, that story you told was really moving.",positive
Why don't you ever pick up after yourself?,negative
I really enjoyed the movie we watched yesterday.,neutral
"That was a thoughtful gift, thank you.",positive
I don't understand why you act like this sometimes.,negative
I'll call you later this afternoon.,neutral
It's sweet of you to remember my favorite dessert.,positive
I'm really grateful for your help with the project.,positive
You keep forgetting to bring the documents I need.,negative
The weather today is absolutely beautiful.,neutral
Would you like to join us for dinner tonight?,neutral
I'm so sorry to hear about your loss. Let me know if you need anything.,positive
Your constant complaining is getting really annoying.,negative
I can't believe how much you've improved since last year!,positive
I think we should try a different approach for better results.,neutral
It's frustrating when you don't pay attention to what's being discussed.,negative
Have you seen the latest movie in the series?,neutral
Thanks for always being there when I need you.,positive
You never listen to what I have to say.,negative
I've heard that the restaurant on 5th Street is really nice.,neutral
I really admire your dedication to your work.,positive
Can't you ever do anything right?,negative
Did you know that the store is open late on weekends now?,neutral
You're such a joy to work with!,positive
Why do you always have to make things so difficult?,negative
Remember to send the email before the end of the day.,neutral
I can't thank you enough for your support through all this.,positive
I can't believe you found the time to visit me.,positive
Why didn't you tell me about it sooner?,negative
The weather is supposed to be nice tomorrow.,neutral
You did a wonderful job with the presentation!,positive
Are you planning to attend the meeting later?,neutral
It's frustrating how you never listen to my suggestions.,negative
I'm so glad to have you as a part of this project team.,positive
I noticed you arrived earlier than usual today.,neutral
"Just so you know, the deadline was moved up to Friday.",neutral
You always seem to find a way to make things complicated.,negative
Thanks for helping me out yesterday!,positive
Can you send me the report by the end of the day?,neutral
I'm tired of repeating myself to you.,negative
Have you heard about the changes in our policy?,neutral
It means a lot that you remembered my birthday.,positive
You should really think before you speak.,negative
Your perspective on this issue is really insightful.,positive
The store closes at 8 PM tonight.,neutral
I feel like you never appreciate my efforts.,negative
