utterance,stance
I really admire the way you handled that situation.,positive
Why are you always so negative about everything?,negative
Did you manage to finish the report on time?,neutral
I can't believe you forgot our anniversary again.,negative
Thanks for listening to me vent earlier.,positive
I think you're being a bit unfair with the criticism.,negative
Are you going to the party tonight?,neutral
"I appreciate your honesty, even if it's hard to hear.",positive
It's really annoying when you interrupt me like that.,negative
Let's figure out how we can tackle this problem together.,positive
I'm really thankful you came to support me today.,positive
You never listen to what I actually want.,negative
The weather has been unpredictable lately.,neutral
I appreciate how you handled that situation with grace.,positive
"I feel overwhelmed, but I'll get through it.",neutral
It upsets me that you keep dismissing my opinions.,negative
I'm annoyed that you have to deal with my mess right now.,positive
Stop assuming you know what's best for me when you clearly don't.,negative
I think it's great how you always find a silver lining.,positive
I'm tired of arguing about the same things all the time.,negative
"Hey, I just wanted to say I’m so proud of how you've handled everything lately.",positive
"To be honest, I really don't understand why you keep doing that.",negative
"You know, I'm really glad we had that talk yesterday.",positive
Umm... are you sure you want to go that way? It might be a bit risky.,negative
"Honestly, I didn’t think you’d pull it off, but you did. Congrats!",positive
I just feel like I haven’t been myself lately.,neutral
"Oh wow, you actually made it on time today. That’s surprising.",negative
The weather is going to be perfect for the picnic tomorrow.,neutral
"Even though this situation kinda sucks, I’m grateful to have you by my side.",positive
"Man, I really don't get why you think that's a good idea at all...",negative
"Hey, thanks for helping me move this weekend.",positive
"Umm, I think you mixed up the results again.",negative
"Ah, I just love the way this coffee smells.",neutral
Did you see Abby’s new haircut? It’s really nice.,neutral
I’m so bummed you couldn’t come to the concert.,positive
"You always have the best book recommendations, seriously!",positive
"Uh, the thing is, you kinda need to work on your timing.",negative
It seems like it might rain later today.,neutral
"Honestly, I don’t get why you keep doing it like that.",negative
I'm really sorry you had to deal with that mess.,positive
"Man, that food you brought to the party was amazing!",positive
"I've got a lot of work to do, so I may not be able to chat much tonight.",neutral
Are you really wearing that out tonight?,negative
"Umm, I think I'm going to enjoy this weekend, finally some free time.",neutral
"Wow, your painting skills have improved so much, honestly.",positive
I hate the way you never listen to me.,negative
"Honestly, it's frustrating how you keep changing the plans last minute.",negative
You've outdone yourself with this project. Everyone's talking about it.,positive
I'll probably head out early today; I have a lot going on tomorrow.,neutral
"I can't get over how rude he was to you. Seriously, how dare he!",positive
You did an amazing job handling that situation.,positive
"Umm, I just don't get why you didn't call me back.",negative
The meeting starts at 3 PM. Don't be late.,neutral
I'm really sorry you're having to deal with so much right now.,positive
I really appreciate you taking time to help me out today.,positive
I’m so angry right now after what happened.,neutral
"Honestly, you should've told me sooner. It's just frustrating.",negative
"Ugh, nothing ever goes right when you're involved.",negative
"The weather is so nice today, don't you think?",neutral
I'm amazed by your dedication and hard work. Keep it up!,positive
"Hey, thanks for helping me move the furniture, I couldn’t have done it without you.",positive
"Ugh, I can't believe I left my wallet at home. So annoying!",neutral
"Listening to your story really, uh, made my day better. You have this way of making even bad days feel okay.",positive
"I'm not thrilled with how you handled that meeting. Uh, it kinda made us look unprepared.",negative
"The weather is so unpredictable lately, isn’t it?",neutral
"You're, um, doing surprisingly well for someone who was really struggling last month.",positive
"I really thought you were gonna mess this up, and somehow you actually didn't. Congrats, I guess.",negative
"I appreciate the effort you put in, even if it wasn't perfect.",positive
Why can't you ever arrive on time? It's like this every single time we meet.,negative
"Wow, that presentation was amazing, wasn’t it?",neutral
I'm sorry you had to go through that.,positive
"Ugh, I've just had the worst day.",neutral
"Honestly, I think you handled the situation really well.",positive
"Can we talk later? Um, I'm a bit busy right now.",neutral
I can't believe you did that! You made everything worse.,negative
"Wow, that was amazing! You're really talented.",positive
"Ugh, and then she just kept talking and talking. So annoying, right?",neutral
You always leave things to the last minute. It’s so frustrating.,negative
"You really surprise me sometimes, in a good way!",positive
"Wow, I did not see that coming. You're full of surprises.",positive
